fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
CZE,I,HIST_STD,FS,C,204667,2019-12-31,6300,119267.0000,,4176.0000,23387.0000,18213.0000
CZE,I,HIST_STD,FS,C,204667,2020-12-31,6300,116763.0000,,6191.0000,28018.0000,19851.0000
CZE,I,HIST_STD,FS,C,204667,2021-12-31,6300,137233.0000,,9705.0000,34601.0000,20671.0000
CZE,I,HIST_STD,FS,C,204667,2022-12-31,6300,124578.0000,,5806.0000,30170.0000,19055.0000
CZE,I,HIST_STD,FS,C,204667,2023-12-31,6300,115567.0000,,6444.0000,55564.0000,37447.0000
CZE,I,HIST_STD,FS,C,204667,2024-12-31,6300,111202.0000,,5108.0000,58422.0000,33018.0000
CZE,A,HIST_STD,INDL,C,204671,2018-12-31,4931,707443.0000,26018.0000,21398.0000,181318.0000,239281.0000
CZE,A,HIST_STD,INDL,C,204671,2019-12-31,4931,704574.0000,29802.0000,31159.0000,201781.0000,255364.0000
CZE,A,HIST_STD,INDL,C,204671,2020-12-31,4931,702458.0000,31558.0000,36066.0000,209522.0000,238563.0000
CZE,A,HIST_STD,INDL,C,204671,2021-12-31,4931,1182922.0000,32226.0000,31163.0000,224822.0000,162840.0000
CZE,A,HIST_STD,INDL,C,204671,2022-12-31,4931,1107380.0000,33948.0000,98292.0000,281053.0000,260261.0000
CZE,A,HIST_STD,INDL,C,204671,2023-12-31,4931,825765.0000,44792.0000,89159.0000,336384.0000,245601.0000
CZE,A,HIST_STD,INDL,C,204671,2024-12-31,4931,901974.0000,54116.0000,95679.0000,340323.0000,250914.0000
CZE,A,HIST_STD,FS,C,204719,2018-12-31,6020,1059932.0000,,29547.0000,43461.0000,103329.0000
CZE,A,HIST_STD,FS,C,204719,2019-12-31,6020,1077334.0000,,38998.0000,53350.0000,108635.0000
CZE,A,HIST_STD,FS,C,204719,2020-12-31,6020,1167131.0000,,25514.0000,45052.0000,117058.0000
CZE,A,HIST_STD,FS,C,204719,2021-12-31,6020,1244353.0000,,29469.0000,45372.0000,126782.0000
CZE,A,HIST_STD,FS,C,204719,2022-12-31,6020,1304063.0000,,86243.0000,103479.0000,123435.0000
CZE,A,HIST_STD,FS,C,204719,2023-12-31,6020,1516302.0000,,112627.0000,130056.0000,128284.0000
CZE,A,HIST_STD,FS,C,204719,2024-12-31,6020,1536000.0000,,110572.0000,129288.0000,130037.0000
CZE,A,HIST_STD,INDL,C,204923,2018-12-31,4991,2554.6390,56.0360,136.4220,532.5250,2124.3630
