fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
HUN,I,HIST_STD,INDL,C,202376,2018-12-31,3560,1210.4130,0.9890,54.0630,741.6710,-219.1470
HUN,I,HIST_STD,INDL,C,202376,2019-12-31,3560,1405.0560,0.0890,7.8600,540.0260,-204.7130
HUN,A,HIST_STD,FS,C,206652,2018-12-31,6020,14590288.0000,,493944.0000,1059935.0000,1826657.0000
HUN,A,HIST_STD,FS,C,206652,2019-12-31,6020,20121767.0000,,671212.0000,1316144.0000,2291288.0000
HUN,A,HIST_STD,FS,C,206652,2020-12-31,6020,23335841.0000,,497850.0000,1360347.0000,2537112.0000
HUN,A,HIST_STD,FS,C,206652,2021-12-31,6020,27553384.0000,,798203.0000,1583451.0000,3036766.0000
HUN,A,HIST_STD,FS,C,206652,2022-12-31,6020,32804210.0000,,1413356.0000,2545828.0000,3322312.0000
HUN,A,HIST_STD,FS,C,206652,2023-12-31,6020,39609144.0000,,2609316.0000,3776633.0000,4094793.0000
HUN,A,HIST_STD,FS,C,206652,2024-12-31,6020,43419128.0000,,2667111.0000,3958814.0000,5120013.0000
HUN,A,HIST_STD,INDL,C,206655,2018-12-31,3080,25810.7020,1587.6730,767.6910,4679.0960,9866.8570
HUN,A,HIST_STD,INDL,C,206655,2019-12-31,3080,25973.7830,2139.3740,1089.3390,5647.9210,10213.9480
HUN,A,HIST_STD,INDL,C,206655,2020-12-31,3080,26733.0150,1461.7970,1058.6250,5922.5050,9746.7890
HUN,A,HIST_STD,INDL,C,206655,2021-12-31,3080,26883.0000,1273.0000,1254.0000,6439.0000,9980.0000
HUN,A,HIST_STD,INDL,C,206655,2022-12-31,3080,27331.0000,1567.0000,1808.0000,7145.0000,10534.0000
HUN,A,HIST_STD,INDL,C,206655,2023-12-31,3080,26252.0000,1251.0000,2079.0000,9668.0000,11458.0000
HUN,A,HIST_STD,INDL,C,206655,2024-12-31,3080,28683.0000,3897.0000,1841.0000,8140.0000,12564.0000
HUN,A,HIST_STD,INDL,C,206691,2018-12-31,2834,797883.0000,41954.0000,65690.0000,445484.0000,685745.0000
HUN,A,HIST_STD,INDL,C,206691,2019-12-31,2834,858651.0000,39507.0000,75373.0000,507794.0000,724873.0000
HUN,A,HIST_STD,INDL,C,206691,2020-12-31,2834,948589.0000,36903.0000,123700.0000,566776.0000,813939.0000
HUN,A,HIST_STD,INDL,C,206691,2021-12-31,2834,1145282.0000,46127.0000,135351.0000,630595.0000,923022.0000
HUN,A,HIST_STD,INDL,C,206691,2022-12-31,2834,1340289.0000,59231.0000,190653.0000,802755.0000,1060352.0000
HUN,A,HIST_STD,INDL,C,206691,2023-12-31,2834,1361217.0000,61960.0000,217026.0000,805158.0000,1142581.0000
