fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
POL,A,HIST_STD,INDL,C,120293,2018-12-31,2711,1399.8260,83.7220,-2.2820,1141.1580,996.1590
POL,A,HIST_STD,INDL,C,120293,2019-12-31,2711,1992.4450,111.4240,32.2160,1249.6630,952.1750
POL,A,HIST_STD,INDL,C,120293,2020-12-31,2711,2018.2980,66.5830,-85.6510,836.4590,832.3230
POL,A,HIST_STD,INDL,C,120293,2021-12-31,2711,1921.2560,49.4630,-37.8820,965.8740,780.2840
POL,A,HIST_STD,INDL,C,120293,2022-12-31,2711,1793.0730,76.4860,-18.3220,1113.1190,674.0240
POL,A,HIST_STD,INDL,C,120293,2023-12-31,2711,2045.4080,60.8790,60.8940,1424.3110,847.5650
POL,A,HIST_STD,INDL,C,120293,2024-12-31,2711,2012.5000,61.6020,82.9270,1480.5030,700.3990
POL,I,HIST_STD,INDL,C,122337,2018-12-31,4813,2525.8550,280.7330,78.0100,1373.1060,1867.1190
POL,I,HIST_STD,INDL,C,122337,2019-12-31,4813,2786.0500,360.6850,71.8420,1297.3970,1912.9270
POL,I,HIST_STD,INDL,C,122337,2020-12-31,4813,0.0000,,70.5510,1294.5990,1952.3030
POL,A,HIST_STD,FS,C,200773,2018-12-31,6020,145750.1190,,2845.6170,5742.2790,15216.0800
POL,A,HIST_STD,FS,C,200773,2019-12-31,6020,158720.5830,,3006.4030,6316.4300,16153.3050
POL,A,HIST_STD,FS,C,200773,2020-12-31,6020,180136.2940,,2311.4890,6614.9990,16675.0670
POL,A,HIST_STD,FS,C,200773,2021-12-31,6020,199538.8850,,2502.6770,6662.8600,13717.9160
POL,A,HIST_STD,FS,C,200773,2022-12-31,6020,209892.1130,,6381.6380,11542.5110,12715.0310
POL,A,HIST_STD,FS,C,200773,2023-12-31,6020,226980.5160,,11857.5710,17024.8520,13737.2260
POL,A,HIST_STD,FS,C,200773,2024-12-31,6020,245957.3630,,12236.0920,17136.0850,17766.9940
POL,A,HIST_STD,FS,C,201756,2018-12-31,6500,112.0490,,11.0260,47.9100,45.8270
POL,A,HIST_STD,FS,C,201756,2019-12-31,6500,138.5550,,35.5020,76.6940,72.7290
POL,A,HIST_STD,FS,C,201756,2020-12-31,6500,155.1020,,5.8250,36.9460,76.3760
POL,A,HIST_STD,FS,C,201756,2021-12-31,6500,156.5670,,10.8250,30.4560,83.0720
POL,A,HIST_STD,FS,C,201756,2022-12-31,6500,162.6410,,-5.5220,26.8050,76.0200
POL,A,HIST_STD,FS,C,201756,2023-12-31,6500,207.3280,,52.6450,96.3860,115.9400
POL,A,HIST_STD,FS,C,201756,2024-12-31,6500,203.3550,,11.9550,51.6610,121.6500
POL,A,HIST_STD,FS,C,205687,2018-12-31,6020,49304.7140,,1025.7730,2356.2650,7056.7500
POL,A,HIST_STD,FS,C,205687,2019-12-31,6020,51978.5430,,911.3340,2469.5420,7074.6550
POL,A,HIST_STD,FS,C,205687,2020-12-31,6020,60941.5380,,679.2130,2215.0490,7580.9670
POL,A,HIST_STD,FS,C,205687,2021-12-31,6020,61862.7710,,1054.8370,2457.3560,7383.3950
