fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
ROU,A,HIST_STD,INDL,C,212886,2018-12-31,3290,97.8970,4.2910,2.5260,34.5600,79.1160
ROU,A,HIST_STD,INDL,C,212886,2019-12-31,3290,94.7300,0.1700,0.3950,33.6820,77.8260
ROU,A,HIST_STD,INDL,C,212886,2020-12-31,3290,93.4320,2.7240,0.3800,30.3670,79.0140
ROU,A,HIST_STD,INDL,C,212886,2021-12-31,3290,95.8620,2.8280,1.5960,32.7450,80.5200
ROU,A,HIST_STD,INDL,C,212886,2022-12-31,3290,116.6590,18.7490,0.1680,33.1560,80.6300
ROU,A,HIST_STD,INDL,C,212886,2023-12-31,3290,214.2790,16.6770,-4.7750,33.8890,171.6850
ROU,A,HIST_STD,INDL,C,212886,2024-12-31,3290,98.7500,6.1920,-2.1540,29.4780,59.4710
ROU,A,HIST_STD,INDL,C,213585,2018-12-31,3714,172.7400,14.3150,2.9920,170.3950,100.7350
ROU,A,HIST_STD,INDL,C,213585,2019-12-31,3714,155.6720,4.0950,2.7620,152.3650,102.5800
ROU,A,HIST_STD,INDL,C,213585,2020-12-31,3714,126.3150,5.0630,-9.3200,82.2430,82.7010
ROU,A,HIST_STD,INDL,C,213585,2021-12-31,3714,114.5140,5.0760,-6.2400,66.3360,74.8090
ROU,A,HIST_STD,INDL,C,213585,2022-12-31,3714,95.0420,4.2230,0.8260,74.5740,67.7920
ROU,A,HIST_STD,INDL,C,213585,2023-12-31,3714,89.8400,1.5180,0.9220,36.7880,67.3760
ROU,A,HIST_STD,INDL,C,213585,2024-12-31,3714,86.5260,1.7300,0.5860,22.1320,67.2610
ROU,A,HIST_STD,INDL,C,213586,2018-12-31,3533,95.3260,0.2760,1.1230,59.2150,62.7370
ROU,A,HIST_STD,INDL,C,213586,2019-12-31,3533,92.8560,0.9530,1.4550,63.5070,63.3210
ROU,A,HIST_STD,INDL,C,213586,2020-12-31,3533,78.9350,0.6510,-10.9720,35.2780,49.1800
ROU,A,HIST_STD,INDL,C,213586,2021-12-31,3533,88.8090,0.4370,1.0090,35.8610,49.5110
ROU,A,HIST_STD,INDL,C,213586,2022-12-31,3533,84.6040,0.2410,-7.7740,43.5660,40.2130
ROU,A,HIST_STD,INDL,C,213586,2023-12-31,3533,80.5760,0.1510,-9.0210,28.4220,29.8180
ROU,A,HIST_STD,INDL,C,213586,2024-12-31,3533,104.6280,0.1500,-22.3800,19.4280,49.2610
ROU,A,HIST_STD,INDL,C,220090,2018-12-31,3334,2939.4440,292.3650,363.3670,2982.5010,1172.8240
ROU,A,HIST_STD,INDL,C,220090,2019-12-31,3334,2462.0260,159.0560,-24.4400,2777.8010,769.9520
ROU,A,HIST_STD,INDL,C,220090,2020-12-31,3334,2629.4190,82.5670,326.2930,2514.7160,1087.6650
ROU,A,HIST_STD,INDL,C,220090,2021-12-31,3334,2871.8670,147.5730,198.3760,3499.9580,1116.4560
ROU,A,HIST_STD,INDL,C,220090,2022-12-31,3334,3789.9340,129.4500,672.5070,3554.0660,1549.4260
ROU,A,HIST_STD,INDL,C,220090,2023-12-31,3334,2920.6050,103.2960,-309.9700,2849.7170,1002.6130
ROU,A,HIST_STD,INDL,C,220090,2024-12-31,3334,3247.6540,134.3180,30.4400,3408.0370,1010.5390
ROU,A,HIST_STD,INDL,C,247930,2018-12-31,2834,898.2010,22.2420,310.2810,452.9290,630.6930
ROU,A,HIST_STD,INDL,C,247930,2019-12-31,2834,1017.9090,35.5730,46.6770,558.8060,702.0000
ROU,A,HIST_STD,INDL,C,247930,2020-12-31,2834,1033.2640,24.5490,67.5240,557.6840,785.3640
ROU,A,HIST_STD,INDL,C,247930,2021-12-31,2834,1049.6060,22.9060,107.3060,682.5560,890.7730
ROU,A,HIST_STD,INDL,C,247930,2022-12-31,2834,1205.1730,27.4150,85.7050,759.6310,999.3550
ROU,A,HIST_STD,INDL,C,247930,2023-12-31,2834,1499.5030,27.9780,185.4190,953.6330,1191.2620
ROU,A,HIST_STD,INDL,C,247930,2024-12-31,2834,1733.7250,48.4330,249.7510,1114.0650,1441.5850
ROU,A,HIST_STD,FS,C,278725,2018-12-31,6211,105.8740,,-3.4520,7.9440,55.4100
ROU,A,HIST_STD,FS,C,278725,2019-12-31,6211,143.4830,,7.5240,22.8270,62.9770
ROU,A,HIST_STD,FS,C,278725,2020-12-31,6211,193.7320,,-0.5580,14.5520,66.8230
ROU,A,HIST_STD,FS,C,278725,2021-12-31,6211,259.6450,,18.4570,48.8050,96.1490
ROU,A,HIST_STD,FS,C,278725,2022-12-31,6211,233.9390,,-15.1380,19.9730,61.7390
ROU,A,HIST_STD,FS,C,278725,2023-12-31,6211,290.4270,,0.5770,35.2620,61.0110
ROU,A,HIST_STD,FS,C,278725,2024-12-31,6211,199.0420,,-18.5820,28.3450,42.6570
ROU,A,HIST_STD,INDL,C,284765,2018-12-31,3350,68.3260,1.3180,0.7270,94.3620,51.4810
ROU,A,HIST_STD,INDL,C,284765,2019-12-31,3350,68.4610,1.0940,3.1090,67.2410,53.9070
ROU,A,HIST_STD,INDL,C,284765,2020-12-31,3350,69.2710,0.9090,4.4380,72.9150,54.5800
ROU,A,HIST_STD,INDL,C,284765,2021-12-31,3350,73.4750,2.5670,7.2580,90.8130,57.1640
ROU,A,HIST_STD,INDL,C,284765,2022-12-31,3350,74.0280,0.6810,7.7300,109.1050,57.6630
ROU,A,HIST_STD,INDL,C,284765,2023-12-31,3350,75.2240,1.2000,8.3610,118.1550,57.9270
ROU,A,HIST_STD,INDL,C,284765,2024-12-31,3350,98.8310,0.1210,6.4620,113.0250,71.0050
ROU,A,HIST_STD,INDL,C,288684,2018-12-31,3080,642.2460,32.0590,34.5620,804.5120,238.1160
ROU,A,HIST_STD,INDL,C,288684,2019-12-31,3080,697.1810,98.5790,59.4180,972.6260,278.8300
ROU,A,HIST_STD,INDL,C,288684,2020-12-31,3080,731.7970,,36.9630,396.1800,334.1990
ROU,A,HIST_STD,INDL,C,288684,2021-12-31,3080,879.6920,,51.6480,615.1110,591.5310
ROU,A,HIST_STD,INDL,C,288684,2022-12-31,3080,661.5540,90.6440,23.8970,711.1260,309.4790
ROU,A,HIST_STD,INDL,C,288684,2023-12-31,3080,754.8250,104.0190,13.5270,672.3310,312.6810
ROU,A,HIST_STD,INDL,C,288684,2024-12-31,3080,1068.1380,63.8320,-2.7090,897.8960,436.8830
ROU,I,HIST_STD,FS,C,289431,2018-12-31,6510,256.0490,,9.6500,41.3400,91.5700
ROU,I,HIST_STD,FS,C,289431,2019-12-31,6510,297.6780,,14.6880,42.4510,97.2620
ROU,A,HIST_STD,INDL,C,291993,2018-12-31,7011,28.5820,0.0240,-1.9040,5.0320,25.7010
ROU,A,HIST_STD,INDL,C,291993,2019-12-31,7011,27.5700,0.5270,-1.2400,6.7200,24.3970
ROU,A,HIST_STD,INDL,C,291993,2020-12-31,7011,25.6350,0.0230,-1.4320,3.2850,21.1000
ROU,A,HIST_STD,INDL,C,291993,2021-12-31,7011,27.8490,0.2980,-1.9990,3.7010,22.2050
ROU,A,HIST_STD,INDL,C,291993,2022-12-31,7011,28.1310,0.8700,-3.1020,6.6570,18.7290
ROU,A,HIST_STD,INDL,C,291993,2023-12-31,7011,25.4430,0.0860,-2.2720,9.0080,15.8530
ROU,A,HIST_STD,INDL,C,291993,2024-12-31,7011,24.0420,0.1240,-0.8450,10.4090,14.3870
ROU,A,HIST_STD,FS,C,291994,2018-12-31,6512,421.2160,,24.7710,60.6520,329.9970
ROU,A,HIST_STD,INDL,C,212834,2018-12-31,2834,706.1050,64.5970,38.9270,368.0660,472.7270
ROU,A,HIST_STD,INDL,C,212834,2019-12-31,2834,794.0150,69.1800,41.3910,394.3720,496.8430
ROU,A,HIST_STD,INDL,C,212834,2020-12-31,2834,863.0000,47.9870,37.4220,346.7760,577.2720
ROU,A,HIST_STD,INDL,C,212834,2021-12-31,2834,895.3900,29.0520,34.2470,376.7570,604.9920
ROU,A,HIST_STD,INDL,C,212834,2022-12-31,2834,856.4740,39.8800,46.4670,496.4460,641.4310
ROU,A,HIST_STD,INDL,C,212834,2023-12-31,2834,1139.1720,83.0250,97.4220,614.1630,846.9640
ROU,A,HIST_STD,INDL,C,212834,2024-12-31,2834,1279.2570,98.7750,107.1840,686.1260,894.3090
ROU,A,HIST_STD,INDL,C,212836,2018-12-31,3490,35.5310,0.0760,-1.3430,8.2840,-1.3900
ROU,A,HIST_STD,INDL,C,212836,2019-12-31,3490,33.0320,0.1010,-2.4510,7.3050,-4.8430
ROU,A,HIST_STD,INDL,C,212836,2020-12-31,3490,30.8920,0.0190,-1.1720,5.0760,-7.2570
ROU,A,HIST_STD,INDL,C,212836,2021-12-31,3490,14.0870,,-1.4400,2.7680,8.9350
ROU,A,HIST_STD,INDL,C,212836,2022-12-31,3490,9.0250,,-0.4600,2.0950,8.0500
ROU,A,HIST_STD,INDL,C,212836,2023-12-31,3490,8.9380,,-0.9220,1.8220,7.5430
ROU,A,HIST_STD,INDL,C,212836,2024-12-31,3490,7.3120,,-0.2400,1.7280,6.9460
ROU,A,HIST_STD,INDL,C,213570,2018-12-31,7011,13.3600,,-1.3260,0.3540,13.0680
ROU,A,HIST_STD,INDL,C,213570,2019-12-31,7011,13.2790,,-0.9250,0.6230,13.1500
ROU,A,HIST_STD,INDL,C,213570,2020-12-31,7011,11.6830,,-1.3070,0.6580,11.3350
ROU,A,HIST_STD,INDL,C,213570,2021-12-31,7011,12.4700,,-2.4800,0.6860,8.3250
ROU,A,HIST_STD,INDL,C,213570,2022-12-31,7011,25.5290,,0.4190,0.7150,19.7590
ROU,A,HIST_STD,INDL,C,213570,2023-12-31,7011,30.3120,,,0.8460,23.8640
ROU,A,HIST_STD,INDL,C,213570,2024-12-31,7011,25.6740,,-0.9920,0.8500,22.5670
ROU,A,HIST_STD,INDL,C,219981,2018-12-31,3714,677.9780,66.0460,38.1120,756.5060,444.8610
ROU,A,HIST_STD,INDL,C,219981,2019-12-31,3714,727.7570,80.8720,28.2750,751.1760,480.1160
ROU,A,HIST_STD,INDL,C,219981,2020-12-31,3714,734.3660,87.4790,1.5930,550.2960,492.9690
ROU,A,HIST_STD,INDL,C,219981,2021-12-31,3714,799.7600,43.4170,12.7900,709.0560,502.6830
ROU,A,HIST_STD,INDL,C,219981,2022-12-31,3714,805.7730,52.0130,1.4210,741.1930,501.2420
ROU,A,HIST_STD,INDL,C,219981,2023-12-31,3714,762.0390,57.8030,1.1440,773.6110,501.4500
ROU,A,HIST_STD,INDL,C,219981,2024-12-31,3714,697.5860,17.9800,-4.4920,628.8010,514.3700
ROU,A,HIST_STD,INDL,C,219982,2018-12-31,3730,374.6100,4.1830,-17.0130,91.2690,136.9310
ROU,A,HIST_STD,INDL,C,219982,2019-12-31,3730,323.0900,3.1860,-20.2760,249.2870,110.7440
ROU,A,HIST_STD,INDL,C,219982,2020-12-31,3730,273.9190,0.9830,-3.7210,250.3230,116.6080
ROU,A,HIST_STD,INDL,C,219982,2021-12-31,3730,327.0390,3.1830,-3.9510,207.3860,107.8530
ROU,A,HIST_STD,INDL,C,219982,2022-12-31,3730,251.8840,0.9890,22.6140,180.7000,126.7760
ROU,A,HIST_STD,INDL,C,219982,2023-12-31,3730,331.0190,16.8330,9.8160,146.0970,134.3830
ROU,A,HIST_STD,FS,C,247560,2018-12-31,6020,77896.7540,,1983.5190,4419.3860,7880.0730
ROU,A,HIST_STD,FS,C,247560,2019-12-31,6020,91722.2810,,2762.0460,5306.5980,9213.8360
ROU,A,HIST_STD,FS,C,247560,2020-12-31,6020,107492.3970,,2312.5980,5295.4100,10414.3580
