fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
SVN,I,HIST_STD,FS,C,206634,2018-12-31,6200,2.3690,,-0.1570,0.0800,1.1750
SVN,I,HIST_STD,FS,C,206634,2019-12-31,6200,2.3280,,-0.1280,0.0760,1.0070
SVN,I,HIST_STD,FS,C,206634,2020-12-31,6200,0.4820,,-0.2650,-0.1040,0.4600
SVN,A,HIST_STD,INDL,C,206720,2018-12-31,7011,164.4420,3.2860,2.3970,28.7560,94.4650
SVN,A,HIST_STD,INDL,C,206720,2019-12-31,7011,159.0200,5.2180,1.7610,28.9500,88.9390
SVN,A,HIST_STD,INDL,C,206720,2020-12-31,7011,163.2590,3.8330,-0.6160,18.6720,90.3190
SVN,A,HIST_STD,INDL,C,206720,2021-12-31,7011,153.0400,7.0890,2.4200,25.3880,97.9370
SVN,A,HIST_STD,INDL,C,206720,2022-12-31,7011,151.2560,3.5190,2.1790,31.7560,98.4180
SVN,A,HIST_STD,INDL,C,206720,2023-12-31,7011,146.2260,2.8620,1.7020,33.6810,96.5980
SVN,A,HIST_STD,INDL,C,218463,2018-12-31,2834,1985.0690,86.2590,228.4820,1327.1900,1540.2700
SVN,A,HIST_STD,INDL,C,218463,2019-12-31,2834,2184.6180,104.5020,272.1430,1490.0900,1667.5160
SVN,A,HIST_STD,INDL,C,218463,2020-12-31,2834,2235.5420,74.8060,386.9680,1531.6740,1751.8120
SVN,A,HIST_STD,INDL,C,218463,2021-12-31,2834,2537.6830,65.9140,353.0090,1562.2660,1919.0850
SVN,A,HIST_STD,INDL,C,218463,2022-12-31,2834,2687.5000,87.9050,379.4750,1712.5300,2138.5090
SVN,A,HIST_STD,INDL,C,218463,2023-12-31,2834,2764.2910,130.0240,397.6500,1801.8730,2181.7660
SVN,A,HIST_STD,INDL,C,218463,2024-12-31,2834,2849.0210,107.7620,425.2870,1906.0370,2237.7840
SVN,A,HIST_STD,INDL,C,218465,2018-12-31,4400,572.2420,12.1520,57.2980,227.6210,393.8790
SVN,A,HIST_STD,INDL,C,218465,2019-12-31,4400,597.4100,34.7820,45.0940,228.7520,419.0890
SVN,A,HIST_STD,INDL,C,218465,2020-12-31,4400,607.4000,58.2020,28.8270,210.0630,441.6610
SVN,A,HIST_STD,INDL,C,218465,2021-12-31,4400,634.1030,59.7830,28.5700,228.5200,466.9650
SVN,A,HIST_STD,INDL,C,218465,2022-12-31,4400,701.1540,46.7010,81.7050,313.5400,515.7320
SVN,A,HIST_STD,INDL,C,218465,2023-12-31,4400,774.2270,44.7520,59.2770,312.8680,543.0530
SVN,A,HIST_STD,INDL,C,218465,2024-12-31,4400,814.3680,49.6290,64.9120,330.1010,584.8040
SVN,I,HIST_STD,INDL,C,218466,2018-12-31,5411,1936.2980,26.3870,25.2420,2177.1870,479.5250
SVN,I,HIST_STD,INDL,C,218466,2019-12-31,5411,2003.8680,35.4380,49.0830,2138.7390,438.9750
SVN,I,HIST_STD,INDL,C,218466,2020-12-31,5411,1791.4830,41.8360,-46.1470,2170.0170,292.0450
SVN,A,HIST_STD,INDL,C,218468,2018-12-31,5500,1730.8160,75.8010,123.4820,4289.4660,747.4780
SVN,A,HIST_STD,INDL,C,218468,2019-12-31,5500,1859.5940,119.6580,127.8520,4375.8840,811.2520
SVN,A,HIST_STD,INDL,C,218468,2020-12-31,5500,1792.0780,79.6300,101.0490,3079.4330,826.6690
SVN,A,HIST_STD,INDL,C,218468,2021-12-31,5500,2383.4510,57.0300,166.4930,4960.1260,908.6980
SVN,A,HIST_STD,INDL,C,218468,2022-12-31,5500,2740.6040,74.2890,-10.5200,9456.7330,860.1670
SVN,A,HIST_STD,INDL,C,218468,2023-12-31,5500,2635.2630,88.0850,182.4620,6982.6770,923.0420
SVN,A,HIST_STD,INDL,C,218468,2024-12-31,5500,2447.1290,55.1440,208.4230,6111.6790,976.5430
SVN,I,HIST_STD,INDL,C,243417,2018-12-31,4581,124.5130,8.8470,14.7650,46.2580,105.4800
