fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
SVK,A,HIST_STD,INDL,C,316071,2018-12-31,1400,9.5620,1.1630,0.7880,3.1830,8.7280
SVK,A,HIST_STD,INDL,C,316071,2019-12-31,1400,9.9320,1.9870,0.6730,3.4360,9.1690
SVK,A,HIST_STD,INDL,C,316071,2020-12-31,1400,10.2270,1.2540,0.6400,3.4510,9.5780
SVK,A,HIST_STD,INDL,C,316071,2021-12-31,1400,12.2480,0.1840,1.8780,6.6950,10.9600
SVK,A,HIST_STD,INDL,C,316071,2022-12-31,1400,12.2980,0.0870,0.5920,5.5910,11.3060
SVK,A,HIST_STD,INDL,C,316071,2023-12-31,1400,12.5280,0.2140,0.5690,4.0880,11.7310
SVK,A,HIST_STD,INDL,C,316071,2024-12-31,1400,12.3520,,0.5880,3.7450,11.4040
SVK,I,HIST_STD,FS,C,316072,2018-12-31,6726,157.8160,,-14.8740,108.5540,2.3320
SVK,I,HIST_STD,FS,C,316072,2019-12-31,6726,147.0920,,0.6860,125.0030,-2.7300
SVK,I,HIST_STD,FS,C,316072,2020-12-31,6726,128.2890,,0.3630,12.3020,-3.7830
SVK,I,HIST_STD,FS,C,316072,2021-12-31,6726,64.8930,,-0.0800,8.6810,-5.7030
SVK,I,HIST_STD,INDL,C,206431,2018-12-31,2911,2336.0510,134.0440,92.8910,3885.6570,1595.4510
SVK,I,HIST_STD,INDL,C,206431,2019-12-31,2911,2547.0350,251.2750,23.9320,3695.9610,1629.7150
SVK,I,HIST_STD,INDL,C,206431,2022-12-31,2911,3889.7040,131.8570,1043.4770,6064.3970,1959.3340
SVK,I,HIST_STD,INDL,C,206431,2023-12-31,2911,3063.2800,94.3780,635.1180,5902.3000,1648.6000
SVK,I,HIST_STD,INDL,C,206431,2024-12-31,2911,2889.2940,289.0720,233.1800,5568.6740,1476.1720
SVK,I,HIST_STD,INDL,C,298084,2018-12-31,7011,496.9830,1.0620,5.7270,32.6790,117.8970
SVK,I,HIST_STD,INDL,C,298084,2019-12-31,7011,221.6380,0.4300,0.8250,28.8090,78.2110
SVK,I,HIST_STD,INDL,C,298084,2020-12-31,7011,168.5720,1.0260,-6.0640,7.0300,29.0070
SVK,I,HIST_STD,INDL,C,298084,2021-12-31,7011,185.2530,0.4540,-1.1210,11.1430,30.1980
SVK,I,HIST_STD,INDL,C,298084,2022-12-31,7011,203.7990,0.5990,-2.5490,15.4920,42.1950
SVK,I,HIST_STD,INDL,C,298084,2023-12-31,7011,139.0990,1.0230,1.6270,22.5410,27.4480
SVK,A,HIST_STD,INDL,C,353505,2018-12-31,3490,83.0440,6.0210,2.8030,37.4020,28.1720
SVK,A,HIST_STD,INDL,C,353505,2019-12-31,3490,102.8310,16.1960,4.2380,42.5380,30.8580
SVK,A,HIST_STD,INDL,C,353505,2020-12-31,3490,112.0530,11.8630,3.2390,48.2150,34.6150
SVK,A,HIST_STD,INDL,C,353505,2021-12-31,3490,127.5320,20.8540,4.8600,53.9680,36.8980
SVK,A,HIST_STD,INDL,C,353505,2022-12-31,3490,152.4780,26.6310,5.2240,58.6730,67.8600
